,speaker_1,name,_merge
0,Blaise Agá¼era y Arcas,,left_only
1,Blaise Agá¼era y Arcas,,left_only
2,José Antonio Abreu,José Antonio Abreu,both
3,Gustavo Dudamel and the Teresa Carreño Youth Orchestra,Gustavo Dudamel and the Teresa Carreño Youth Orchestra,both
4,Béatrice Coron,Béatrice Coron,both
5,Brené Brown,Brené Brown,both
6,Sebastiá£o Salgado,,left_only
7,Ziyah GaficÌ,,left_only
8,Helder Guimará£es,,left_only
9,Marina AbramoviÄ‡,,left_only
10,Angélica Dass,Angélica Dass,both
11,Cédric Villani,Cédric Villani,both
12,Kayla Briá«t,,left_only
13,Anna Rosling Rönnlund,Anna Rosling Rönnlund,both
14,,Jonas Gahr Støre,right_only
15,,Halla Tómasdóttir,right_only
16,,Péter Fankhauser,right_only
17,,Kayla Briët,right_only
18,,Sinéad Burke,right_only
19,,José Andrés,right_only
20,,Hannah Bürckstümmer,right_only
21,,Sebastián Bortnik,right_only
22,,António Guterres,right_only
23,,Helder Guimarães,right_only
24,,Diébédo Francis Kéré,right_only
25,,Grégoire Courtine,right_only
26,,Naná Vasconcelos,right_only
27,,Blaise Agüera y Arcas,right_only
28,,Olúfẹ́mi Táíwò,right_only
29,,Inés Hercovich,right_only
30,,Miriam Zoila Pérez,right_only
31,,Marina Abramović,right_only
32,,Nonny de la Peña,right_only
33,,Eduardo Sáenz de Cabezón,right_only
34,,Matthias Müllenbeck,right_only
35,,Christian Rodríguez,right_only
36,,Edsel Salvaña,right_only
37,,Tomás Saraceno,right_only
38,,Ilona Szabó de Carvalho,right_only
39,,Eduardo Briceño,right_only
40,,Alejandro Sánchez Alvarado,right_only
41,,Patrícia Medici,right_only
42,,Sebastião Salgado,right_only
43,,Ziyah Gafić,right_only
44,,Guillaume Néry,right_only
45,,Rébecca Kleinberger,right_only
46,,Iké Udé,right_only
47,,Enrique Peñalosa,right_only
48,,Özlem Cekic,right_only
49,,Kimberlé Crenshaw,right_only
50,,José Bowen,right_only
51,,Marco Alverà,right_only
52,,Fadi Chehadé,right_only
53,,Finn Lützow-Holm Myrstad,right_only
54,,Françoise Mouly,right_only
55,,Gonzalo Vilariño,right_only
56,,Sō Percussion,right_only
57,,Andreas Ekström,right_only
58,,Svante Pääbo,right_only
59,,Burçin Mutlu-Pakdil,right_only
60,,Gastón Acurio,right_only
61,,Ellen Støkken Dahl,right_only
62,,Vernā Myers,right_only
63,,Nina Dølvik Brochmann,right_only
64,,Andrés Ruzo,right_only
65,,Rocío Lorenzo,right_only
66,,Gabriela González,right_only
67,,Walé Oyéjidé,right_only
