,speaker,name,_merge
0,Carl Honoré,,left_only
1,Halla Tá³masdá³ttir,,left_only
2,Halla Tá³masdá³ttir,,left_only
3,Svante Pá¤á¤bo,,left_only
4,Péter Fankhauser,Péter Fankhauser,both
5,Grégoire Courtine,Grégoire Courtine,both
6,Ilona Szabá³ de Carvalho,,left_only
7,Nonny de la Peña,Nonny de la Peña,both
8,Antá³nio Guterres,,left_only
9,Andrés Ruzo,Andrés Ruzo,both
10,Kimberlé Crenshaw,Kimberlé Crenshaw,both
11,Miriam Zoila Pérez,Miriam Zoila Pérez,both
12,Olúfẹ́mi Táíwò,Olúfẹ́mi Táíwò,both
13,Edsel Salvaña,Edsel Salvaña,both
14,Walé Oyéjidé,Walé Oyéjidé,both
15,IkÃ© UdÃ©,,left_only
16,Naná¡ Vasconcelos,,left_only
17,,Jonas Gahr Støre,right_only
18,,Halla Tómasdóttir,right_only
19,,Kayla Briët,right_only
20,,Sinéad Burke,right_only
21,,José Andrés,right_only
22,,Hannah Bürckstümmer,right_only
23,,Sebastián Bortnik,right_only
24,,António Guterres,right_only
25,,Helder Guimarães,right_only
26,,Diébédo Francis Kéré,right_only
27,,Naná Vasconcelos,right_only
28,,Blaise Agüera y Arcas,right_only
29,,Inés Hercovich,right_only
30,,Marina Abramović,right_only
31,,José Antonio Abreu,right_only
32,,Eduardo Sáenz de Cabezón,right_only
33,,Matthias Müllenbeck,right_only
34,,Christian Rodríguez,right_only
35,,Brené Brown,right_only
36,,Tomás Saraceno,right_only
37,,Ilona Szabó de Carvalho,right_only
38,,Gustavo Dudamel and the Teresa Carreño Youth Orchestra,right_only
39,,Eduardo Briceño,right_only
40,,Alejandro Sánchez Alvarado,right_only
41,,Patrícia Medici,right_only
42,,Sebastião Salgado,right_only
43,,Ziyah Gafić,right_only
44,,Guillaume Néry,right_only
45,,Rébecca Kleinberger,right_only
46,,Iké Udé,right_only
47,,Angélica Dass,right_only
48,,Béatrice Coron,right_only
49,,Enrique Peñalosa,right_only
50,,Anna Rosling Rönnlund,right_only
51,,Özlem Cekic,right_only
52,,José Bowen,right_only
53,,Marco Alverà,right_only
54,,Fadi Chehadé,right_only
55,,Finn Lützow-Holm Myrstad,right_only
56,,Françoise Mouly,right_only
57,,Gonzalo Vilariño,right_only
58,,Sō Percussion,right_only
59,,Cédric Villani,right_only
60,,Andreas Ekström,right_only
61,,Svante Pääbo,right_only
62,,Burçin Mutlu-Pakdil,right_only
63,,Gastón Acurio,right_only
64,,Ellen Støkken Dahl,right_only
65,,Vernā Myers,right_only
66,,Nina Dølvik Brochmann,right_only
67,,Rocío Lorenzo,right_only
68,,Gabriela González,right_only
